time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/iterations,train/value_loss,train/std,train/policy_gradient_loss,train/explained_variance,train/entropy_loss,train/loss,train/learning_rate,train/clip_fraction,train/n_updates,train/approx_kl,train/clip_range,eval/mean_reward,eval/mean_ep_length
10,101,211.0,1024,-1980.999878,1,,,,,,,,,,,,,
9,204,299.0,2048,-2205.565246,2,14015.978555297852,0.811272144317627,-0.0006622355402214452,0.021889328956604004,-3.611914397031069,10629.59375,0.000990097133814429,0.0626953125,590,0.0047409516,0.2,,
9,331,310.0,3072,-1658.246257,3,14900.88148841858,0.8091095685958862,0.025975754944374783,0.06729042530059814,-3.6069198086857797,12238.794921875,0.000990097133814429,0.359375,600,0.025870249,0.2,,
9,410,287.0,4096,-1601.753789,4,19132.30964126587,0.8215152621269226,0.01340366610675119,0.011998772621154785,-3.6168706893920897,4378.28369140625,0.000990097133814429,0.20458984375,610,0.07428675,0.2,,
10,511,284.0,5120,-1700.50795,5,11563.121846389771,0.822577178478241,0.008492560358718038,0.23763304948806763,-3.6553500786423685,1004.1674194335938,0.000990097133814429,0.195703125,620,0.005333366,0.2,,
9,615,377.0,6144,-2864.527369,6,12648.200584030152,0.8249683380126953,-0.0005972750688670204,0.06621348857879639,-3.6598159253597258,6282.4140625,0.000990097133814429,0.0666015625,630,0.0023827623,0.2,,
10,667,279.0,7168,-1616.841635,7,18124.42009086609,0.8259892463684082,7.736087427474558e-05,0.11424416303634644,-3.6659488566219807,18915.814453125,0.000990097133814429,0.02158203125,640,0.0035811483,0.2,,
10,770,277.0,8192,-1923.268267,8,8004.372880172729,0.8231385946273804,-0.0027359244239050897,0.16579461097717285,-3.6650009900331497,5202.416015625,0.000990097133814429,0.057421875,650,0.0068236524,0.2,,
11,824,253.0,9216,-1407.980849,9,14808.629974365234,0.8240981101989746,-0.003852056455798447,0.1606203317642212,-3.6602590955793857,2551.266845703125,0.000990097133814429,0.02802734375,660,0.00152822,0.2,,
,,,10000,,,9208.865719223022,0.8246573805809021,0.0002393304806901142,0.3562796115875244,-3.6626755937933924,4866.53662109375,0.000990097133814429,0.02392578125,670,0.003548931,0.2,-2116.2327778,339.2
9,1029,261.0,10240,-1818.847189,10,,,,,,,,,,,,,
10,1083,584.0,11264,-3869.40282,11,8775.196477127076,0.8226372599601746,-0.0029575488122645767,0.2988448739051819,-3.660022860020399,1657.8221435546875,0.000990097133814429,0.03623046875,680,0.0070067924,0.2,,
10,1135,585.0,12288,-4371.181649,12,5047.0630157470705,0.8205705881118774,-0.002073597835260443,0.1563103199005127,-3.6559672132134438,481.5119934082031,0.000990097133814429,0.026171875,690,0.0035848822,0.2,,
11,1188,307.0,13312,-2033.666061,13,6550.436275482178,0.8214787840843201,-0.0025608040421502666,0.37851977348327637,-3.6537076205015184,2114.816162109375,0.000990097133814429,0.059375,700,0.0049340106,0.2,,
11,1241,338.0,14336,-1831.775906,14,9886.051119995118,0.8282029628753662,0.00022501981584355235,0.13975727558135986,-3.667810370773077,11553.3671875,0.000990097133814429,0.0947265625,710,0.0067824638,0.2,,
12,1269,1057.0,15360,-7372.294274,15,7406.301959609986,0.8089780807495117,0.0005607965227682144,0.30557888746261597,-3.6327309496700764,1052.986572265625,0.000990097133814429,0.1123046875,720,0.008739405,0.2,,
12,1323,572.0,16384,-4729.910181,16,6046.06353263855,0.8034150004386902,0.0014808640960836783,0.46598219871520996,-3.6015595972537993,2356.869140625,0.000990097133814429,0.08076171875,730,0.012528222,0.2,,
12,1376,517.0,17408,-4023.351451,17,6696.631305313111,0.7904967069625854,-0.004331255203578621,0.26362037658691406,-3.5635295048356057,1599.2796630859375,0.000990097133814429,0.1462890625,740,0.0073589124,0.2,,
12,1429,583.0,18432,-4748.95789,18,8381.963060760498,0.7669836282730103,0.004482369270408526,0.27679264545440674,-3.499810677021742,661.4329833984375,0.000990097133814429,0.1345703125,750,0.014285085,0.2,,
12,1508,492.0,19456,-3787.878362,19,6755.838628768921,0.7558781504631042,-0.0004133481706958264,0.5140218138694763,-3.4319329626858233,778.102783203125,0.000990097133814429,0.08037109375,760,0.010222513,0.2,,
,,,20000,,,11704.047533798217,0.7559291124343872,-0.004304436658276245,0.240048348903656,-3.4133893750607966,1455.607666015625,0.000990097133814429,0.06767578125,770,0.0022308752,0.2,-3138.891421,434.6
12,1690,462.0,20480,-3307.617651,20,,,,,,,,,,,,,
12,1769,467.0,21504,-3143.349801,21,8328.106234741212,0.7540451884269714,-0.001439337379997596,0.3813764452934265,-3.4036691166460513,2486.70556640625,0.000990097133814429,0.04638671875,780,0.004647387,0.2,,
12,1821,473.0,22528,-3767.61816,22,8694.281038284302,0.7574471235275269,-0.001518446215777658,0.5528692007064819,-3.403609240055084,1115.8509521484375,0.000990097133814429,0.08232421875,790,0.0067367195,0.2,,
12,1873,479.0,23552,-4045.905944,23,10264.085275268555,0.7600051760673523,0.00179320122115314,0.5543812811374664,-3.424085669219494,9575.6396484375,0.000990097133814429,0.06181640625,800,0.008407437,0.2,,
12,1926,600.0,24576,-4010.854032,24,13648.274794769288,0.7643060088157654,-5.081197014078498e-06,0.4898160696029663,-3.433755360543728,11890.3623046875,0.000990097133814429,0.0232421875,810,0.0034108413,0.2,,
12,1979,490.0,25600,-3611.924973,25,9575.214344024658,0.7520877718925476,0.0037760038219857963,0.5812288820743561,-3.416140320897102,1080.1136474609375,0.000990097133814429,0.16220703125,820,0.011808736,0.2,,
13,2031,507.0,26624,-4304.362737,26,14671.826484298706,0.7571858763694763,0.007589002858730964,0.37157851457595825,-3.389464150369167,1215.407470703125,0.000990097133814429,0.21630859375,830,0.042010434,0.2,,
13,2109,486.0,27648,-3580.805566,27,11601.906128311157,0.7649734020233154,-0.0014868370431941002,0.2584632635116577,-3.441370303928852,1398.2923583984375,0.000990097133814429,0.097265625,840,0.009356439,0.2,,
13,2161,512.0,28672,-4135.942408,28,12803.69615097046,0.7654832601547241,-0.002860284433700144,0.30607300996780396,-3.449797836691141,7392.8095703125,0.000990097133814429,0.052734375,850,0.0046435473,0.2,,
13,2214,647.0,29696,-4532.210649,29,9472.31314125061,0.7639998197555542,0.0014176492928527295,0.4285828471183777,-3.4487494945526125,1828.822265625,0.000990097133814429,0.0912109375,860,0.003452464,0.2,,
,,,30000,,,8672.1254032135,0.7701780796051025,-0.0004903732915408909,0.6172558069229126,-3.459573743492365,8628.1337890625,0.000990097133814429,0.04345703125,870,0.0047198525,0.2,-3076.892356,438.0
12,2419,259.0,30720,-1425.247119,30,,,,,,,,,,,,,
12,2472,949.0,31744,-5903.673028,31,12651.20703086853,0.7609872221946716,-7.407288649119437e-05,0.557589054107666,-3.453654495626688,24008.5625,0.000990097133814429,0.01953125,880,0.0045525143,0.2,,
12,2526,439.0,32768,-3451.969512,32,3249.8070838928224,0.7720615267753601,4.0228484431281684e-05,0.6935990154743195,-3.446707979589701,1680.0743408203125,0.000990097133814429,0.06982421875,890,0.006226659,0.2,,
13,2580,608.0,33792,-4543.980556,33,9921.80491104126,0.7853612899780273,-0.0008286779397167265,0.5962579846382141,-3.503139966726303,2185.801025390625,0.000990097133814429,0.03203125,900,0.008433554,0.2,,
13,2632,550.0,34816,-4077.224266,34,11434.979744338989,0.7878491878509521,0.0002519122674129903,0.751059278845787,-3.5321455776691435,2248.181640625,0.000990097133814429,0.0341796875,910,0.0021070444,0.2,,
13,2685,646.0,35840,-4543.22939,35,13508.067166137695,0.7904295325279236,-0.0027828543621581047,0.6555468440055847,-3.537290471047163,16889.349609375,0.000990097133814429,0.10625,920,0.008471971,0.2,,
13,2738,587.0,36864,-4447.095999,36,9413.609378814697,0.7933567762374878,0.0015902783212368376,0.7742005735635757,-3.565494500845671,5881.0732421875,0.000990097133814429,0.123046875,930,0.005781996,0.2,,
