[INFO] [1686169581.853433, 0.000000]: Iniciando os testes...
[INFO] [1686169587.245565, 5661.540000]: Aguardando carregamento dos módulos do controlador de voo...
[INFO] [1686169587.247643, 5661.540000]: Iniciando os testes...
[7.535000114440919, 4.336130500793459, 2.6696894035339356]
[7.3320005226135265, 4.092301250457765, 2.5938067302703858]
[7.237000255584718, 3.9153848896026626, 2.5582952365875244]
[7.178000240325929, 3.761096120834352, 2.5362405643463135]
[7.1420004653930675, 3.620806814193727, 2.522783504486084]
[7.123000411987306, 3.4903074512481704, 2.5156812534332276]
[7.116000442504884, 3.3662885437011734, 2.513064609527588]
[7.11900022506714, 3.247191549301149, 2.5141861305236817]
[7.13100030899048, 3.132046342849733, 2.5186717376708985]
[7.152000217437745, 3.020385385513307, 2.5265216693878174]
[7.183000354766847, 2.9121574172973648, 2.5381095275878907]
[5.114000110626222, 1.965606213569642, 1.7647046909332276]
[5.086000232696534, 1.8690830478668221, 1.754238115310669]
[5.092000274658204, 1.7859076271057137, 1.7564809188842774]
[5.12500026702881, 1.7118870029449471, 1.7688165769577027]
[5.188000469207764, 1.6466072807312022, 1.7923663721084595]
[5.319000034332276, 1.600371600151063, 1.8413349256515503]
[7.706000595092775, 2.2147265682220474, 2.733610139846802]
[7.865000514984132, 2.1281372318267837, 2.7930455074310303]
[8.086000232696534, 2.0521756420135513, 2.8756565914154053]
[12.009000091552736, 2.8677519569396996, 4.342097984313964]
[1.2540000963211062, -0.2011517127752302, 0.3218129739761353]
[1.196000008583069, -0.20916339659690836, 0.3001322016716004]
[1.1620000886917117, -0.220139547228813, 0.287422792673111]
[1.1380000400543215, -0.2321835746765135, 0.27845145916938785]
[1.1170000720024111, -0.24412211680412274, 0.2706015274524689]
[1.1010000395774844, -0.25662919783592203, 0.2646206185817719]
[1.0860000538825991, -0.2688587596416471, 0.2590135202407837]
[1.0730000424385073, -0.28115650916099527, 0.2541540429592133]
[1.0630000519752505, -0.29393732452392557, 0.25041599726676944]
[1.0530000615119937, -0.306371926307678, 0.24667792177200318]
[1.0440000581741335, -0.3188059916496275, 0.2433136568069458]
[1.0380000162124636, -0.33201739096641525, 0.24107082343101502]
[1.0310000467300418, -0.34464079046249374, 0.23845417952537537]
[1.0250000643730166, -0.3574194600582121, 0.23621134614944458]
[1.021000056266785, -0.37082022333145126, 0.23471613383293152]
[1.0170000481605532, -0.3840824952125548, 0.23322089171409607]
[1.0130000400543215, -0.39720627570152267, 0.231725679397583]
[1.0100000190734866, -0.4106584181785582, 0.23060424780845643]
[1.0090000319480898, -0.4249750366210936, 0.23023046708106995]
[1.0080000448226931, -0.4392570247650145, 0.2298566565513611]
[1.0070000576972964, -0.4535044124126433, 0.22948284602165223]
[1.0080000448226931, -0.4687893381118773, 0.2298566565513611]
[1.0100000190734866, -0.4846623232364653, 0.23060424780845643]
[1.0120000529289248, -0.5006045093536375, 0.23135186886787415]
[1.0170000481605532, -0.5183800449371336, 0.23322089171409607]
[1.0230000305175784, -0.5369340171813963, 0.23546372509002686]
[1.0310000467300418, -0.5569410314559935, 0.23845417952537537]
[1.0440000581741335, -0.580424844264984, 0.2433136568069458]
[1.065000026226044, -0.6096168746948241, 0.2511635885238648]
[8.190000801086427, -5.431767581939695, 2.914532409667969]
[7.564000396728517, 4.224958778381349, 2.5522737369537354]
[7.395000247955323, 4.002993942260743, 2.492026077270508]
[7.307000427246095, 3.830392004013063, 2.460654483795166]
[7.261000423431398, 3.682670951843263, 2.4442555770874024]
[7.23300054550171, 3.5455883750915542, 2.4342737064361573]
[7.220000534057618, 3.416754127502443, 2.429639326095581]
[7.219000129699708, 3.293985010147096, 2.4292828903198243]
[7.22700050354004, 3.175306201934816, 2.432134853363037]
[7.247000484466554, 3.0615500221252456, 2.4392647609710694]
[7.276000289916993, 2.9508456001281753, 2.4496030673980713]
[5.114000110626222, 1.965606213569642, 1.6788601741790772]
[5.086000232696534, 1.8690830478668221, 1.668878303527832]
[5.093000202178956, 1.7862716922760018, 1.6713738307952881]
[5.12500026702881, 1.7118870029449471, 1.6827816829681397]
[5.188000469207765, 1.6466072807312022, 1.7052408323287964]
[5.3190000343322765, 1.600371600151063, 1.7519417867660523]
[7.831000595092775, 2.2515798816680923, 2.6474578247070313]
[8.008000164031984, 2.1678217658996597, 2.710557685852051]
[8.284000663757325, 2.103695989608766, 2.8089504108428955]
[11.906000404357911, 2.8427339801788354, 4.100176082611084]
[12.030000953674318, 2.6672862777709985, 4.1443817481994625]
[1.2540000963211062, -0.2011517127752302, 0.3027883336544037]
[1.196000008583069, -0.20916339659690839, 0.28211160159111026]
[1.1620000886917117, -0.220139547228813, 0.2699907586574555]
[1.1380000400543215, -0.2321835746765135, 0.2614348695278168]
[1.1170000720024111, -0.24412211680412274, 0.25394846653938297]
[1.1010000395774844, -0.25662919783592203, 0.24824454045295716]
[1.0860000538825991, -0.2688587596416472, 0.24289713954925538]
[1.0730000424385073, -0.2811565091609953, 0.23826269960403443]
[1.0630000519752505, -0.2939373245239256, 0.23469774580001831]
[1.0530000615119937, -0.30637192630767807, 0.2311327919960022]
[1.0440000581741335, -0.31880599164962753, 0.2279243335723877]
[1.0380000162124636, -0.33201739096641525, 0.22578536128997803]
[1.0310000467300418, -0.34464079046249374, 0.22328989362716675]
[1.0250000643730166, -0.3574194600582121, 0.22115092134475708]
[1.021000056266785, -0.37082022333145126, 0.21972493982315064]
[1.0170000481605532, -0.3840824952125548, 0.2182989583015442]
[1.0130000400543215, -0.39720627570152267, 0.21687297677993775]
[1.0100000190734866, -0.4106584181785582, 0.21580349063873291]
[1.0090000319480898, -0.4249750366210936, 0.2154469952583313]
[1.0080000448226931, -0.4392570247650145, 0.2150904998779297]
[1.0070000576972964, -0.4535044124126433, 0.21473400449752808]
[1.0080000448226931, -0.4687893381118773, 0.2150904998779297]
